algorithm,dataType,n,timeMs,comparisons
std_sort,random,100,0.06425,871
stable_sort,random,100,0.056416,599
merge_lcp,random,100,0.085458,1135
quick3way,random,100,0.029708,786
msd_radix,random,100,0.314916,0
msd_radix_qs,random,100,0.024042,99
std_sort,reverse,100,0.020292,358
stable_sort,reverse,100,0.040792,424
merge_lcp,reverse,100,0.065916,772
quick3way,reverse,100,0.085,2673
msd_radix,reverse,100,0.307209,0
msd_radix_qs,reverse,100,0.024333,120
std_sort,almost,100,0.031875,526
stable_sort,almost,100,0.046,514
merge_lcp,almost,100,0.074666,978
quick3way,almost,100,0.038458,1113
msd_radix,almost,100,0.330167,0
msd_radix_qs,almost,100,0.023625,97
std_sort,random,200,0.130791,1932
stable_sort,random,200,0.128875,1553
merge_lcp,random,200,0.195958,2753
quick3way,random,200,0.058417,1596
msd_radix,random,200,0.5385,0
msd_radix_qs,random,200,0.04325,311
std_sort,reverse,200,0.039083,746
stable_sort,reverse,200,0.10475,1263
merge_lcp,reverse,200,0.147167,1818
quick3way,reverse,200,0.243084,7402
msd_radix,reverse,200,0.523125,0
msd_radix_qs,reverse,200,0.043959,405
std_sort,almost,200,0.065166,1181
stable_sort,almost,200,0.094292,1178
merge_lcp,almost,200,0.170417,2301
quick3way,almost,200,0.093416,2716
msd_radix,almost,200,0.581166,0
msd_radix_qs,almost,200,0.043458,331
std_sort,random,300,0.232625,3486
stable_sort,random,300,0.214166,2526
merge_lcp,random,300,0.318125,4628
quick3way,random,300,0.094083,2527
msd_radix,random,300,0.664209,0
msd_radix_qs,random,300,0.064667,610
std_sort,reverse,300,0.058375,1178
stable_sort,reverse,300,0.148083,1684
merge_lcp,reverse,300,0.238666,2992
quick3way,reverse,300,0.389959,12047
msd_radix,reverse,300,1.64646,0
msd_radix_qs,reverse,300,0.238,821
std_sort,almost,300,0.115875,2044
stable_sort,almost,300,0.175167,2060
merge_lcp,almost,300,0.274291,3749
quick3way,almost,300,0.181208,5367
msd_radix,almost,300,0.757375,0
msd_radix_qs,almost,300,0.065958,654
std_sort,random,400,0.325958,5015
stable_sort,random,400,0.301334,3664
merge_lcp,random,400,0.450541,6624
quick3way,random,400,0.132,3565
msd_radix,random,400,0.801833,0
msd_radix_qs,random,400,0.089459,955
std_sort,reverse,400,0.076417,1576
stable_sort,reverse,400,0.211333,2499
merge_lcp,reverse,400,0.340083,4270
quick3way,reverse,400,0.511667,15877
msd_radix,reverse,400,0.819583,0
msd_radix_qs,reverse,400,0.096084,1347
std_sort,almost,400,0.443708,2877
stable_sort,almost,400,0.2295,2825
merge_lcp,almost,400,0.373417,5144
quick3way,almost,400,0.266125,8043
msd_radix,almost,400,0.759041,0
msd_radix_qs,almost,400,0.088834,1021
std_sort,random,500,0.400125,6264
stable_sort,random,500,0.391375,4870
merge_lcp,random,500,0.584584,8699
quick3way,random,500,0.163666,4436
msd_radix,random,500,0.959959,0
msd_radix_qs,random,500,0.112,1290
std_sort,reverse,500,0.098,1993
stable_sort,reverse,500,0.276458,3455
merge_lcp,reverse,500,0.500375,5354
quick3way,reverse,500,0.703583,20166
msd_radix,reverse,500,0.927416,0
msd_radix_qs,reverse,500,0.13125,2061
std_sort,almost,500,0.16575,3229
stable_sort,almost,500,0.280125,3628
merge_lcp,almost,500,0.487334,6830
quick3way,almost,500,0.33775,10222
msd_radix,almost,500,0.898125,0
msd_radix_qs,almost,500,0.116584,1460
std_sort,random,600,0.497875,7925
stable_sort,random,600,0.483542,6147
merge_lcp,random,600,10.1243,10857
quick3way,random,600,0.776375,5900
msd_radix,random,600,2.03854,0
msd_radix_qs,random,600,0.142292,1725
std_sort,reverse,600,0.116667,2401
stable_sort,reverse,600,0.355417,4603
merge_lcp,reverse,600,0.532917,6953
quick3way,reverse,600,0.787083,24704
msd_radix,reverse,600,0.997209,0
msd_radix_qs,reverse,600,0.16625,2847
std_sort,almost,600,0.164042,3492
stable_sort,almost,600,0.332292,4425
merge_lcp,almost,600,0.587,8233
quick3way,almost,600,0.365125,11111
msd_radix,almost,600,1.02979,0
msd_radix_qs,almost,600,0.141292,1903
std_sort,random,700,0.608291,9940
stable_sort,random,700,0.578542,7560
merge_lcp,random,700,0.878083,13200
quick3way,random,700,0.25675,6961
msd_radix,random,700,1.19092,0
msd_radix_qs,random,700,0.169417,2179
std_sort,reverse,700,0.131667,2809
stable_sort,reverse,700,0.435292,5877
merge_lcp,reverse,700,0.664375,8430
quick3way,reverse,700,0.928791,29047
msd_radix,reverse,700,1.06925,0
msd_radix_qs,reverse,700,0.21275,3894
std_sort,almost,700,0.231708,4734
stable_sort,almost,700,0.38675,5199
merge_lcp,almost,700,0.692167,9711
quick3way,almost,700,0.583167,17821
msd_radix,almost,700,1.10288,0
msd_radix_qs,almost,700,0.173959,2484
std_sort,random,800,0.687458,11272
stable_sort,random,800,0.679083,9022
merge_lcp,random,800,1.01967,15551
quick3way,random,800,0.28825,7757
msd_radix,random,800,1.22767,0
msd_radix_qs,random,800,0.195208,2596
std_sort,reverse,800,0.152583,3248
stable_sort,reverse,800,0.523083,7266
merge_lcp,reverse,800,0.738,9835
quick3way,reverse,800,1.03529,32257
